Symbole,Nom,Volume,Cours ouverture,Cours Cloture,Variation
ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,2 701,2 340,2 350,"6,82"
BICB,BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN,100,5 200,5 200,"-1,89"
BICC,BICI COTE D'IVOIRE,343,19 490,19 490,"0,72"
BNBC,BERNABE COTE D'IVOIRE,195,1 825,1 825,"0,27"
BOAB,BANK OF AFRICA BENIN,802,5 040,5 045,"0,00"
BOABF,BANK OF AFRICA BURKINA FASO,1 966,3 750,3 700,"-1,33"
BOAC,BANK OF AFRICA COTE D'IVOIRE,429,7 290,7 290,"0,00"
BOAM,BANK OF AFRICA MALI,4 413,4 300,4 350,"-0,11"
BOAN,BANK OF AFRICA NIGER,2 870,2 600,2 600,"0,19"
BOAS,BANK OF AFRICA SENEGAL,1 785,5 465,5 405,"-1,37"
CABC,SICABLE COTE D'IVOIRE,297,1 715,1 710,"-0,29"
CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,10,9 975,9 975,"-0,05"
CFAC,CFAO MOTORS COTE D'IVOIRE,5 681,1 800,1 780,"1,71"
CIEC,CIE COTE D'IVOIRE,216,2 490,2 500,"0,00"
ECOC,ECOBANK COTE D'IVOIRE,202,14 175,14 190,"0,11"
ETIT,Ecobank Transnational Incorporated TOGO,16 465,21,22,"4,76"
FTSC,FILTISAC COTE D'IVOIRE,794,2 885,2 890,"0,35"
LNBB,LOTERIE NATIONALE DU BENIN,70,3 900,3 900,"-2,50"
NEIC,NEI-CEDA COTE D'IVOIRE,106,685,685,"0,00"
NSBC,NSIA BANQUE COTE D'IVOIRE,26,11 190,11 105,"0,05"
NTLC,NESTLE COTE D'IVOIRE,26,13 450,13 400,"-0,37"
ONTBF,ONATEL BURKINA FASO,1 412,2 495,2 420,"0,41"
ORAC,ORANGE COTE D'IVOIRE,91,14 530,14 995,"3,20"
ORGT,ORAGROUP TOGO,2 441,2 635,2 630,"-0,38"
PALC,PALM COTE D'IVOIRE,2 195,8 800,8 800,"-0,06"
PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,205,4 000,4 000,"0,00"
SAFC,SAFCA COTE D'IVOIRE,1 883,2 755,2 800,"1,63"
SCRC,SUCRIVOIRE COTE D'IVOIRE,2 556,1 270,1 280,"0,79"
SDCC,SODE COTE D'IVOIRE,36,6 215,6 195,"-0,80"
SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,820,1 450,1 485,"2,41"
SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,0,0,700,"0,00"
SGBC,SOCIETE GENERALE COTE D'IVOIRE,304,28 000,27 500,"0,00"
SHEC,VIVO ENERGY COTE D'IVOIRE,241,1 230,1 230,"-1,60"
SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,2 095,5 600,5 700,"1,79"
SICC,SICOR COTE D'IVOIRE,1,3 500,3 500,"0,00"
SIVC,AIR LIQUIDE COTE D'IVOIRE,628,710,710,"0,00"
SLBC,SOLIBRA COTE D'IVOIRE,0,0,18 005,"0,00"
SMBC,SMB COTE D'IVOIRE,240,9 795,9 790,"-0,05"
SNTS,SONATEL SENEGAL,462,26 695,26 300,"-1,48"
SOGC,SOGB COTE D'IVOIRE,710,8 700,8 690,"0,00"
SPHC,SAPH COTE D'IVOIRE,57,8 200,8 200,"-0,61"
STAC,SETAO COTE D'IVOIRE,57,1 175,1 175,"-0,42"
STBC,SITAB COTE D'IVOIRE,121,19 500,19 350,"-0,26"
TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,100,2 350,2 350,"0,21"
TTLS,TOTALENERGIES MARKETING SENEGAL,12,2 550,2 550,"0,00"
UNLC,UNILEVER COTE D'IVOIRE,0,0,18 605,"0,00"
UNXC,UNIWAX COTE D'IVOIRE,925,1 970,1 960,"-0,51"
