Date,Symbole,Nom,Volume,Cours ouverture,Cours Cloture,Variation
2026-03-06 14:32:31.422523,ABJC,SERVAIR ABIDJAN  COTE D'IVOIRE,6 389,3 400,3 400,"3,03"
2026-03-06 14:32:31.422566,BICB,BANQUE INTERNATIONALE POUR L’INDUSTRIE ET LE COMMERCE DU BENIN,4 363,5 250,5 250,"0,00"
2026-03-06 14:32:31.422590,BICC,BICI COTE D'IVOIRE,3 210,24 900,24 900,"0,00"
2026-03-06 14:32:31.422610,BNBC,BERNABE COTE D'IVOIRE,3 276,1 565,1 620,"0,62"
2026-03-06 14:32:31.422628,BOAB,BANK OF AFRICA BENIN,6 215,6 990,7 000,"0,14"
2026-03-06 14:32:31.422654,BOABF,BANK OF AFRICA BURKINA FASO,3 922,4 700,4 720,"1,40"
2026-03-06 14:32:31.422672,BOAC,BANK OF AFRICA COTE D'IVOIRE,8 682,8 250,8 300,"0,06"
2026-03-06 14:32:31.422688,BOAM,BANK OF AFRICA MALI,3 178,4 600,4 590,"0,00"
2026-03-06 14:32:31.422705,BOAN,BANK OF AFRICA NIGER,27 132,2 700,2 785,"3,15"
2026-03-06 14:32:31.422723,BOAS,BANK OF AFRICA SENEGAL,4 687,6 800,6 800,"0,74"
2026-03-06 14:32:31.422740,CABC,SICABLE COTE D'IVOIRE,3 056,3 900,3 990,"2,31"
2026-03-06 14:32:31.422757,CBIBF,CORIS BANK INTERNATIONAL BURKINA FASO,740,13 200,13 450,"2,59"
2026-03-06 14:32:31.422775,CFAC,CFAO MOTORS COTE D'IVOIRE,6 536,1 800,1 750,"-2,78"
2026-03-06 14:32:31.422791,CIEC,CIE COTE D'IVOIRE,6 655,3 370,3 310,"-1,78"
2026-03-06 14:32:31.422807,ECOC,ECOBANK COTE D'IVOIRE,3 430,16 205,16 475,"0,00"
2026-03-06 14:32:31.422823,ETIT,Ecobank Transnational Incorporated TOGO,532 433,32,32,"0,00"
2026-03-06 14:32:31.422838,FTSC,FILTISAC COTE D'IVOIRE,3 932,2 465,2 470,"0,20"
2026-03-06 14:32:31.422855,LNBB,LOTERIE NATIONALE DU BENIN,2 162,3 810,3 810,"-2,18"
2026-03-06 14:32:31.422870,NEIC,NEI-CEDA COTE D'IVOIRE,1 809,1 400,1 385,"-0,36"
2026-03-06 14:32:31.422890,NSBC,NSIA BANQUE COTE D'IVOIRE,5 266,14 290,13 900,"-2,73"
2026-03-06 14:32:31.422906,NTLC,NESTLE COTE D'IVOIRE,556,12 500,12 550,"0,40"
2026-03-06 14:32:31.422923,ONTBF,ONATEL BURKINA FASO,2 682,2 850,2 910,"2,11"
2026-03-06 14:32:31.422939,ORAC,ORANGE COTE D'IVOIRE,3 334,15 600,15 890,"1,86"
2026-03-06 14:32:31.422954,ORGT,ORAGROUP TOGO,7 574,3 700,3 720,"0,54"
2026-03-06 14:32:31.422970,PALC,PALM COTE D'IVOIRE,2 268,9 200,9 100,"-1,09"
2026-03-06 14:32:31.422986,PRSC,TRACTAFRIC MOTORS COTE D'IVOIRE,1 557,5 405,5 430,"0,56"
2026-03-06 14:32:31.423002,SAFC,SAFCA COTE D'IVOIRE,5 084,5 400,5 735,"7,50"
2026-03-06 14:32:31.423019,SCRC,SUCRIVOIRE COTE D'IVOIRE,16 184,1 565,1 550,"-0,96"
2026-03-06 14:32:31.423035,SDCC,SODE COTE D'IVOIRE,3 182,7 750,7 700,"-0,65"
2026-03-06 14:32:31.423051,SDSC,AFRICA GLOBAL LOGISTICS COTE D'IVOIRE,10 092,2 095,2 095,"7,44"
2026-03-06 14:32:31.423073,SEMC,EVIOSYS PACKAGING SIEM COTE D'IVOIRE,11 973,2 310,2 245,"4,42"
2026-03-06 14:32:31.423090,SGBC,SOCIETE GENERALE COTE D'IVOIRE,4 555,35 995,36 000,"2,86"
2026-03-06 14:32:31.423106,SHEC,VIVO ENERGY COTE D'IVOIRE,19 629,2 325,2 240,"-3,66"
2026-03-06 14:32:31.423124,SIBC,SOCIETE IVOIRIENNE DE BANQUE COTE D'IVOIRE,11 182,6 800,6 850,"-0,72"
2026-03-06 14:32:31.423140,SICC,SICOR COTE D'IVOIRE,27,4 000,3 710,"-7,25"
2026-03-06 14:32:31.423156,SIVC,ERIUM COTE D’IVOIRE,16 741,2 650,2 790,"3,91"
2026-03-06 14:32:31.423171,SLBC,SOLIBRA COTE D'IVOIRE,948,38 200,38 800,"0,78"
2026-03-06 14:32:31.423187,SMBC,SMB COTE D'IVOIRE,783,13 395,13 395,"-0,04"
2026-03-06 14:32:31.423203,SNTS,SONATEL SENEGAL,28 516,29 000,28 950,"0,87"
2026-03-06 14:32:31.423219,SOGC,SOGB COTE D'IVOIRE,1 964,8 715,8 750,"0,46"
2026-03-06 14:32:31.423235,SPHC,SAPH COTE D'IVOIRE,2 045,8 400,8 200,"-0,36"
2026-03-06 14:32:31.423254,STAC,SETAO COTE D'IVOIRE,2 631,1 870,1 900,"1,60"
2026-03-06 14:32:31.423270,STBC,SITAB COTE D'IVOIRE,1 685,21 500,21 495,"0,21"
2026-03-06 14:32:31.423286,TTLC,TOTALENERGIES MARKETING COTE D'IVOIRE,28 715,2 905,2 870,"-2,05"
2026-03-06 14:32:31.423302,TTLS,TOTALENERGIES MARKETING SENEGAL,3 883,3 300,3 285,"-0,45"
2026-03-06 14:32:31.423317,UNLC,UNILEVER COTE D'IVOIRE,28,68 600,70 000,"2,19"
2026-03-06 14:32:31.423333,UNXC,UNIWAX COTE D'IVOIRE,13 424,2 150,2 260,"5,61"
